id,status,name,also_known_as,aliases,type,founded,hq_country,hq_region,ownership,sector,segment,features,specialization,aum,parent_company,transactions_count,was_added,created_by,was_changed,modified_by,search_index,arc_website,IG_ID,investor_role
,TO BE ENRICHED,SkyVision Capital,,,Investor,,,,Private,,,,Generalist,,,0,05/09/2025 01:23,,05/09/2025 01:23,,SkyVision Capital,,1254,participant
,TO BE ENRICHED,Skybound Entertainment,,,Investor,,,,Private,,,,Generalist,,,0,05/09/2025 01:23,,05/09/2025 01:23,,Skybound Entertainment,,2592,lead
,ENABLED,Skybound Entertainment,Skybound,,Strategic / CVC,2010,USA,North America,Private,Gaming (Content Development/Publishing),Mobile,,Generalist,,,3,05/09/2025 01:23,,05/09/2025 01:23,,"Skybound Entertainment, USA, North America",www.skybound.com,46,TARGET
,ENABLED,Skybound Entertainment,Skybound,,Strategic / CVC,2010,USA,North America,Private,Gaming (Content Development/Publishing),Mobile,,Generalist,,,3,05/09/2025 01:23,,05/09/2025 01:23,,"Skybound Entertainment, USA, North America",https://www.skybound.com/about,2081,TARGET
,IMPORTED,Skymap,,,Strategic / CVC,2013,USA,North America,Private,Gaming (Content Development/Publishing),PC/Console,,Generalist,,,0,05/09/2025 01:23,,05/09/2025 01:23,,"Skymap, USA, North America",https://skymap.com/,2510,TARGET
,TO BE ENRICHED,Small Giant Games,,,Investor,,,,Private,,,,Generalist,,,0,05/09/2025 01:23,,05/09/2025 01:23,,Small Giant Games,,218,participant
,TO BE ENRICHED,Smart Study Ventures,,,Investor,,,,Private,,,,Generalist,,,0,05/09/2025 01:23,,05/09/2025 01:23,,Smart Study Ventures,,"3881, 4051","participant, lead"
,TO BE ENRICHED,Smilegate,,,Investor,,,,Private,,,,Generalist,,,0,05/09/2025 01:23,,05/09/2025 01:23,,Smilegate,,1237,lead
,TO BE ENRICHED,Smilegate Investment,,,Investor,,,,Private,,,,Generalist,,,0,05/09/2025 01:23,,05/09/2025 01:23,,Smilegate Investment,,2192,lead
,IMPORTED,Snackbar Studio,,,Strategic / CVC,2024,USA,North America,Private,Gaming (Content Development/Publishing),PC/Console,,Generalist,,,0,05/09/2025 01:23,,05/09/2025 01:23,,"Snackbar Studio, USA, North America",https://snackbarstudio.com/,3769,TARGET
,TO BE ENRICHED,Snackclub,,,Investor,,,,Private,,,,Generalist,,,0,05/09/2025 01:23,,05/09/2025 01:23,,Snackclub,,2693,participant
,IMPORTED,Snail,,,Strategic / CVC,2014,China,Eastern Asia,Private,Gaming (Content Development/Publishing),PC/Console,,Generalist,,,0,05/09/2025 01:23,,05/09/2025 01:23,,"Snail, China, Eastern Asia",https://snail.com/,2449,TARGET
,TO BE ENRICHED,Snoot Entertainment,,,Investor,,,,Private,,,,Generalist,,,0,05/09/2025 01:23,,05/09/2025 01:23,,Snoot Entertainment,,144,lead
,IMPORTED,Snowprint,,Snowprint Studios,Strategic / CVC,2015,Sweden,Nordic Countries,Private,Gaming (Content Development/Publishing),Mobile,,Generalist,,Metacore,0,05/09/2025 01:23,,05/09/2025 01:23,,"Snowprint, Sweden, Nordic Countries",,842,TARGET
,TO BE ENRICHED,Social First,,,Investor,,,,Private,,,,Generalist,,,0,05/09/2025 01:23,,05/09/2025 01:23,,Social First,,3859,lead
,TO BE ENRICHED,SoftBank,,,Investor,,,,Private,,,,Generalist,,,0,05/09/2025 01:23,,05/09/2025 01:23,,SoftBank,,1585,participant
,TO BE ENRICHED,SoftBanks SB Opportunity Fund,,,Investor,,,,Private,,,,Generalist,,,0,05/09/2025 01:23,,05/09/2025 01:23,,SoftBanks SB Opportunity Fund,,1326,lead
,TO BE ENRICHED,Solana,,,Investor,,,,Private,,,,Generalist,,,0,05/09/2025 01:23,,05/09/2025 01:23,,Solana,,2782,participant
,ENABLED,Sonix,,,Strategic / CVC,2017,USA,North America,Private,Platform & Tech,Tech,,Generalist,,,1,05/09/2025 01:23,,05/09/2025 01:23,,"Sonix, USA, North America",https://www.sonixapp.com/,3990,TARGET
,TO BE ENRICHED,Sony Group Corporation,,,Investor,,,,Private,,,,Generalist,,,0,05/09/2025 01:23,,05/09/2025 01:23,,Sony Group Corporation,,"770, 902, 1032","lead, participant, lead"
,TO BE ENRICHED,Sony Innovation Fund,,,Investor,,,,Private,,,,Generalist,,,0,05/09/2025 01:23,,05/09/2025 01:23,,Sony Innovation Fund,,"1769, 2882","participant, participant"
,ENABLED,Sorare,,,Strategic / CVC,2018,France,Western Europe,Private,Platform & Tech,Blockchain-powered,Blockchain/web3,Generalist,,,0,05/09/2025 01:23,,05/09/2025 01:23,,"Sorare, France, Western Europe",https://sorare.com,2450,TARGET
,IMPORTED,SoulGame,,,Strategic / CVC,2012,China,Eastern Asia,Private,Gaming (Content Development/Publishing),Mobile,,Generalist,,,0,05/09/2025 01:23,,05/09/2025 01:23,,"SoulGame, China, Eastern Asia",https://soulgame.com/,1662,TARGET
